"Matricula","ÁLGEBRA.VETORIAL.E.GEOMETRIA.ANALÍTICA","CALCULO.DIFERENCIAL.E.INTEGRAL.I","CALCULO.DIFERENCIAL.E.INTEGRAL.II","LEITURA.E.PRODUCAO.DE.TEXTOS","MATEMÁTICA.DISCRETA","PROGRAMAÇÃO.I","PROGRAMAÇÃO.II","INTRODUÇÃO.A.COMPUTAÇÃO","LABORATÓRIO.DE.PROGRAMAÇÃO.I","LABORATÓRIO.DE.PROGRAMAÇÃO.II","TEORIA.DOS.GRAFOS","Cod_Evasao"
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,1
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,1
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,1
"B10079",5,7.9,5.7,9.5,5.3,8.2,8.9,7.1,9,8.3,7.8,0
